date,event_name,ga_session_id,user_pseudo_id,transaction_id,ecommerce_value,ecommerce_currency,item_id,item_name,item_brand,item_variant,item_category,price,quantity
2026-01-24,purchase,1769232012,nX29sJD+HZgXwx/vDigt4KF8iTPiji5Cpkp5vtbMXaE=.1762151704,146439,0.0,AUD,FNO06SCAR,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Scarlet,Upholstery,0.0,1.0
2026-01-24,purchase,1769230784,0y72eaBcc1QiiCy15LEsQ1whreohx9x8abEQpf+U9w8=.1766286965,146441,0.0,AUD,FNO06TUME,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Turmeric,Upholstery,0.0,1.0
2026-01-24,purchase,1769230784,0y72eaBcc1QiiCy15LEsQ1whreohx9x8abEQpf+U9w8=.1766286965,146441,0.0,AUD,FNO06BRAS,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Brass,Upholstery,0.0,1.0
2026-01-25,purchase,1769336758,PfbESgcG3kEariuaOEUhFOl7zWOce1DFYA3mQLxRI1E=.1769336758,146488,0.0,AUD,FNO06CHOC,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Chocolate,Upholstery,0.0,1.0
2026-01-26,purchase,1769385261,Qhh/NnIzKqIxTBpLf/U2W742B4UdB5ADZ2FXDgkb3wY=.1766480798,146510,0.0,AUD,FNO06SEAF,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Seafoam,Upholstery,0.0,1.0
2026-01-26,purchase,1769385261,Qhh/NnIzKqIxTBpLf/U2W742B4UdB5ADZ2FXDgkb3wY=.1766480798,146510,0.0,AUD,FNO06TUME,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Turmeric,Upholstery,0.0,1.0
2026-01-27,purchase,1769512096,Zn61Ozn/aMdP2HozDFYVeU55j0PNwnf1qa+9LkQk4Lk=.1700702930,146700,130.9,AUD,FNO06AMBE,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Amber,Upholstery,27.0,2.0
2026-01-30,purchase,1769750653,/b3UKYPH9OJtul3mfMtLSkSXaJTnf07xukwzkyvwCsY=.1769654962,147032,0.0,AUD,FNO06ORCH,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Orchid,Upholstery,0.0,1.0
2026-02-01,purchase,1769947521,XVUM9jzvrMxDfofCCZymtMBtkH9wGuUqcbujM+ZBbeY=.1769926306,147140,0.0,AUD,FNO06AMBE,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Amber,Upholstery,0.0,1.0
2026-02-02,purchase,1770005368,2vknSVOgyNKZXG/20U7pA2k8GZ2lOGBe6Gkrm1bHjG0=.1768514806,147260,0.0,AUD,FNO06ORCH,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Orchid,Upholstery,0.0,1.0
2026-02-03,purchase,1770082578,ErfU5ay0DCGgyV6sOpU5V1gLEXAQdV/lZupco0Sx5zk=.1770082578,147364,0.0,AUD,FNO06SCAR,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Scarlet,Upholstery,0.0,1.0
2026-02-03,purchase,1770081053,r87zXYrOytsrWKG8hXhd5IHaWYAFzaVYCqKS2wGCf+8=.1770081053,147368,0.0,AUD,FNO06SEAF,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Seafoam,Upholstery,0.0,1.0
2026-02-03,purchase,1770081053,r87zXYrOytsrWKG8hXhd5IHaWYAFzaVYCqKS2wGCf+8=.1770081053,147368,0.0,AUD,FNO06ORCH,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Orchid,Upholstery,0.0,1.0
2026-02-03,purchase,1770086563,J5JkpMPyeUX+VEw6NwjNFYjKDQLE2H6hdh7QntICnf0=.1770086564,147401,0.0,AUD,FNO06OLIV,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Olive,Upholstery,0.0,1.0
2026-02-04,purchase,1770240746,QKq37c7wry/2iWIgnR+fHSqmx+oOsZs5Jd2sJkDKpGc=.1768812322,147626,0.0,AUD,FNO06IVOR,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Ivory,Upholstery,0.0,1.0
2026-02-05,purchase,1770258177,7bTjwuLereeWDqzAW7hnQRCnfL3KxXHOih0JblNTW1I=,147689,132.17,AUD,FNO06FORE,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Forest,Upholstery,27.0,3.2
2026-02-05,purchase,1770287331,ddf6r51TLjP78VGETq5V8h9dsBgzB355flpDv7KswI0=,147745,0.0,AUD,FNO06FORE,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Forest,Upholstery,0.0,1.0
2026-02-05,purchase,1770287331,ddf6r51TLjP78VGETq5V8h9dsBgzB355flpDv7KswI0=,147745,0.0,AUD,FNO06CHOC,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Chocolate,Upholstery,0.0,1.0
2026-02-05,purchase,1770335337,m8o9P6dQQ2GQVDA8FrFus3tLZ9Te9kfE3NxlRH3vITc=.1770335337,147771,0.0,AUD,FNO06ORCH,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Orchid,Upholstery,0.0,1.0
2026-02-06,purchase,1770347481,ORpOAxiddcG2SQ/h/faAaAL0yWlENno0aNoMGfteOI4=.1770347481,147814,0.0,AUD,FNO06AMBE,Norden,"Warwick, WarGuard Treatment, Halo Easy Care",Amber,Upholstery,0.0,1.0
