sst_ts,direct_ts,diff_seconds,device,country
1767664970000000,1767664970218952,0.218952,desktop,Australia
1767664979000000,1767664978114292,-0.885708,desktop,Australia
1767665007000000,1767665006443421,-0.556579,desktop,Australia
1767665040000000,1767665039674411,-0.325589,desktop,Australia
1767665103000000,1767665102592270,-0.40773,mobile,Australia
1767665122000000,1767665122002611,0.002611,desktop,Australia
1767665124000000,1767665123795554,-0.204446,desktop,Australia
1767665134000000,1767665133341653,-0.658347,desktop,Australia
1767665180000000,1767665180125477,0.125477,desktop,Australia
1767665188000000,1767665188267406,0.267406,mobile,Australia
1767665189000000,1767665188267406,-0.732594,mobile,Australia
1767665191000000,1767665191975761,0.975761,desktop,Japan
1767665197000000,1767665196853559,-0.146441,mobile,Australia
1767665231000000,1767665230889937,-0.110063,desktop,Australia
1767665263000000,1767665263299018,0.299018,desktop,Australia
1767665279000000,1767665279568899,0.568899,desktop,Australia
1767665285000000,1767665285005619,0.005619,desktop,Australia
1767665298000000,1767665297618712,-0.381288,desktop,Australia
1767665346000000,1767665345590859,-0.409141,desktop,Australia
1767665350000000,1767665350555255,0.555255,desktop,Australia
1767665352000000,1767665351546103,-0.453897,desktop,Australia
1767665396000000,1767665395679250,-0.32075,desktop,Australia
1767665427000000,1767665427326783,0.326783,desktop,Australia
1767665429000000,1767665429279638,0.279638,desktop,Australia
1767665440000000,1767665439754090,-0.24591,desktop,South Korea
1767665586000000,1767665585895177,-0.104823,desktop,Australia
1767665590000000,1767665590628324,0.628324,mobile,Australia
1767665622000000,1767665622230121,0.230121,desktop,Australia
1767665641000000,1767665641058792,0.058792,desktop,Australia
1767665643000000,1767665642570287,-0.429713,desktop,Australia
1767665646000000,1767665646342023,0.342023,desktop,Australia
1767665683000000,1767665682501362,-0.498638,desktop,Australia
1767665766000000,1767665766158879,0.158879,mobile,Australia
1767665784000000,1767665782197112,-1.802888,desktop,Australia
1767665833000000,1767665831898478,-1.101522,desktop,Japan
1767665833000000,1767665833107815,0.107815,desktop,Australia
1767665902000000,1767665901765288,-0.234712,mobile,Australia
1767665904000000,1767665904330026,0.330026,desktop,Australia
1767665911000000,1767665910297450,-0.70255,mobile,United States
1767665912000000,1767665911732000,-0.268,desktop,Australia
1767665916000000,1767665915933375,-0.066625,desktop,Australia
1767665970000000,1767665970114315,0.114315,desktop,Australia
1767665991000000,1767665991353884,0.353884,desktop,Australia
1767665992000000,1767665992557806,0.557806,desktop,Australia
1767666079000000,1767666078519425,-0.480575,mobile,Australia
1767666093000000,1767666092822716,-0.177284,desktop,Australia
1767666096000000,1767666095933239,-0.066761,desktop,Australia
1767666100000000,1767666099985316,-0.014684,desktop,Australia
1767666136000000,1767666135685975,-0.314025,desktop,Australia
1767666148000000,1767666147879041,-0.120959,desktop,Australia
1767666200000000,1767666200084264,0.084264,mobile,Australia
1767666228000000,1767666228510041,0.510041,desktop,Australia
1767666245000000,1767666244662875,-0.337125,desktop,Australia
1767666251000000,1767666250546880,-0.45312,desktop,Australia
1767666370000000,1767666370228459,0.228459,desktop,China
1767666373000000,1767666372461799,-0.538201,desktop,United States
1767666376000000,1767666375679103,-0.320897,desktop,Australia
1767666377000000,1767666377044932,0.044932,mobile,Australia
